リンク,ジャンル,商品説明,発売元,発売日,価格
https://www.suruga-ya.jp/product/detail/109103918,ニンテンドースイッチハード,amiibo カズヤ(大乱闘スマッシュブラザーズシリーズ),任天堂,2023/01/13,"￥4,800"
https://www.suruga-ya.jp/product/detail/106011224,amiibo,amiibo 勇者 (大乱闘スマッシュブラザーズシリーズ),任天堂,2020/09/25,"￥2,180"
https://www.suruga-ya.jp/product/detail/106011251,amiibo,amiibo テリー(大乱闘スマッシュブラザーズシリーズ),任天堂,2021/03/26,"￥2,150"
https://www.suruga-ya.jp/product/detail/106011250,amiibo,amiibo バンジョー＆カズーイ(大乱闘スマッシュブラザーズシリーズ),任天堂,2021/03/26,"￥2,030"
https://www.suruga-ya.jp/product/detail/106011223,amiibo,amiibo ジョーカー (大乱闘スマッシュブラザーズシリーズ),任天堂,2020/09/25,"￥2,100"
https://www.suruga-ya.jp/product/detail/106011135?tenpo_cd=400437,amiibo,amiibo ダークサムス(大乱闘スマッシュブラザーズシリーズ),任天堂,2019/12/31,品切れなので他店舗の商品をご覧ください
https://www.suruga-ya.jp/product/detail/106011108,amiibo,amiibo フシギソウ(大乱闘スマッシュブラザーズシリーズ),任天堂,2019/09/20,"￥2,120"
https://www.suruga-ya.jp/product/detail/106011136,amiibo,amiibo リヒター(大乱闘スマッシュブラザーズシリーズ),任天堂,2019/12/31,"￥2,770"
https://www.suruga-ya.jp/product/detail/106011107,amiibo,amiibo ゼニガメ(大乱闘スマッシュブラザーズシリーズ),任天堂,2019/09/20,"￥2,780"
https://www.suruga-ya.jp/product/detail/106011079,amiibo,amiibo ピチュー(大乱闘スマッシュブラザーズシリーズ),任天堂,2019/07/19,"￥2,100"
https://www.suruga-ya.jp/product/detail/106011109,amiibo,amiibo シモン(大乱闘スマッシュブラザーズシリーズ),任天堂,2019/11/08,"￥2,180"
https://www.suruga-ya.jp/product/detail/106011134,amiibo,amiibo クロム(大乱闘スマッシュブラザーズシリーズ),任天堂,2019/11/08,"￥1,800"
https://www.suruga-ya.jp/product/detail/106011075,amiibo,amiibo パックンフラワー(大乱闘スマッシュブラザーズシリーズ),任天堂,2019/02/15,"￥2,680"
https://www.suruga-ya.jp/product/detail/106011080,amiibo,amiibo ケン(大乱闘スマッシュブラザーズシリーズ),任天堂,2019/04/12,"￥3,680"
https://www.suruga-ya.jp/product/detail/106011077,amiibo,amiibo こどもリンク(大乱闘スマッシュブラザーズシリーズ),任天堂,2019/04/12,"￥1,980"
https://www.suruga-ya.jp/product/detail/106011133,amiibo,amiibo ガオガエン(大乱闘スマッシュブラザーズシリーズ),任天堂,2019/11/08,"￥2,200"
